cuteSV	154	52	5100	723	6731	122	112	25	3560	74	6115	46
DeBreak	154	55	5100	853	6731	161	105	21	3576	168	6202	100
Delly	154	47	5100	625	6731	146	123	27	3784	208	6083	33
longcallD	154	19	5100	235	6731	115	145	15	4857	54	6754	39
pbsv	154	48	5100	652	6731	202	111	22	3705	131	6100	80
sawfish	154	36	5100	302	6731	91	116	16	4109	67	6145	33
Severus	154	67	5100	1500	6731	758	96	11	3548	104	5973	25
Sniffles	154	42	5100	543	6731	116	127	21	3774	70	6102	57
SVDSS	154	29	5100	383	6731	178	130	12	4569	99	6487	40
SVIM	154	36	5100	444	6731	151	128	20	4001	116	6091	52
